epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19439,1.76965,4.09652,0.00824,0.00138,0.52778,0.18441,0.16392,1.60555,4.18292,0.00998,5.001e-05,5.001e-05,5.001e-05
2,7.80745,1.548,3.86799,0.00761,0.00138,0.52778,0.18739,0.16849,1.33374,4.16611,0.00843,0.00011438,0.00011438,0.00011438
3,11.0374,1.36178,3.78891,0.00709,0.00138,0.52778,0.22259,0.195,1.22159,4.14682,0.00778,0.000176109,0.000176109,0.000176109
4,14.1487,1.30852,3.70748,0.00714,0.00138,0.52778,0.23354,0.2041,1.07554,4.12227,0.00686,0.000235197,0.000235197,0.000235197
5,17.9268,1.24903,3.50108,0.00565,0.00351,0.63889,0.30573,0.26316,0.9977,4.09861,0.00608,0.000291645,0.000291645,0.000291645
6,22.6387,1.20808,3.26009,0.00524,0.00764,0.86111,0.3755,0.31087,1.02472,4.09482,0.00617,0.000345452,0.000345452,0.000345452
7,28.7936,1.2036,3.02121,0.00633,0.00932,1,0.31288,0.2721,0.98015,4.03949,0.0062,0.000396619,0.000396619,0.000396619
8,35.4323,1.29495,2.85175,0.00665,0.00892,1,0.37987,0.34876,0.92335,3.98609,0.00584,0.000445146,0.000445146,0.000445146
9,41.4754,1.31068,2.63561,0.0066,0.00857,1,0.39673,0.34265,0.97509,3.92264,0.00662,0.000491032,0.000491032,0.000491032
10,44.7041,1.25479,2.45067,0.00578,0.00823,1,0.28669,0.23096,0.91496,3.91193,0.00645,0.000534277,0.000534277,0.000534277
11,47.7822,1.27397,2.29112,0.00604,0.00797,1,0.24322,0.19019,0.95491,3.8082,0.00656,0.000574882,0.000574882,0.000574882
12,50.9114,1.21791,2.04313,0.00584,0.00771,1,0.44845,0.31829,1.00634,3.65555,0.00693,0.000612846,0.000612846,0.000612846
13,53.9516,1.22057,2.03832,0.00598,0.00753,1,0.64792,0.46025,1.01871,3.43549,0.00677,0.00064817,0.00064817,0.00064817
14,56.9784,1.23963,2.00037,0.00659,0.00741,1,0.66924,0.49606,1.11572,3.17602,0.00755,0.000680853,0.000680853,0.000680853
15,60.8989,1.31049,1.96475,0.00634,0.21127,0.83333,0.65521,0.48755,1.01894,2.96338,0.0068,0.000710895,0.000710895,0.000710895
16,64.3347,1.156,1.95939,0.00559,0.21127,0.83333,0.65521,0.48755,1.01894,2.96338,0.0068,0.000738298,0.000738298,0.000738298
17,68.0942,1.25207,1.94915,0.00601,0.95872,0.25,0.65029,0.47508,0.9913,2.75774,0.00658,0.000763059,0.000763059,0.000763059
18,71.7403,1.27145,1.87375,0.0057,0.54202,0.58333,0.63509,0.46962,1.04462,2.59153,0.00689,0.00078518,0.00078518,0.00078518
19,75.3094,1.29362,1.99048,0.00587,0.54202,0.58333,0.63509,0.46962,1.04462,2.59153,0.00689,0.000804661,0.000804661,0.000804661
20,79.0873,1.24676,2.04199,0.0067,0.52973,0.58333,0.66233,0.46158,1.15835,2.42208,0.00812,0.000821501,0.000821501,0.000821501
21,82.8224,1.25672,1.77825,0.00606,0.49374,0.58935,0.6887,0.50861,1.0588,2.30956,0.00731,0.0008357,0.0008357,0.0008357
22,86.2963,1.15075,1.79242,0.00548,0.49374,0.58935,0.6887,0.50861,1.0588,2.30956,0.00731,0.000847259,0.000847259,0.000847259
23,89.7645,1.1583,1.94498,0.00582,0.59909,0.70608,0.73176,0.57024,1.00427,2.25834,0.00679,0.000856178,0.000856178,0.000856178
24,93.5062,1.32358,1.78331,0.00674,0.59909,0.70608,0.73176,0.57024,1.00427,2.25834,0.00679,0.000862456,0.000862456,0.000862456
25,97.1412,1.21465,1.58403,0.00592,0.60203,0.49918,0.70087,0.5438,1.01354,2.22363,0.00651,0.000866093,0.000866093,0.000866093
26,100.603,1.26351,1.61653,0.00574,0.60203,0.49918,0.70087,0.5438,1.01354,2.22363,0.00651,0.000841835,0.000841835,0.000841835
27,104.336,1.15565,1.63997,0.00589,0.46885,0.66667,0.7667,0.54908,1.16898,2.1722,0.00759,0.000808828,0.000808828,0.000808828
28,107.86,1.20081,1.69412,0.00636,0.46885,0.66667,0.7667,0.54908,1.16898,2.1722,0.00759,0.000775822,0.000775822,0.000775822
29,111.473,1.13411,1.57237,0.00532,0.56268,0.76298,0.81884,0.59168,1.13213,2.12521,0.00765,0.000742815,0.000742815,0.000742815
30,115.053,1.21902,1.64673,0.00644,0.56268,0.76298,0.81884,0.59168,1.13213,2.12521,0.00765,0.000709809,0.000709809,0.000709809
31,118.625,1.20996,1.69782,0.00622,0.5992,0.83333,0.84389,0.62201,1.08466,1.99837,0.00726,0.000676802,0.000676802,0.000676802
32,122.204,1.17977,1.70447,0.00646,0.5992,0.83333,0.84389,0.62201,1.08466,1.99837,0.00726,0.000643795,0.000643795,0.000643795
33,126.001,1.23839,1.56179,0.00547,0.66324,0.83333,0.88025,0.64613,1.12277,1.88391,0.00769,0.000610789,0.000610789,0.000610789
34,129.738,1.20532,1.57051,0.00622,0.66324,0.83333,0.88025,0.64613,1.12277,1.88391,0.00769,0.000577782,0.000577782,0.000577782
35,133.294,1.22684,1.57645,0.00598,0.4792,0.83333,0.85891,0.63668,1.12501,1.7964,0.00805,0.000544776,0.000544776,0.000544776
36,136.877,1.19787,1.55473,0.00582,0.4792,0.83333,0.85891,0.63668,1.12501,1.7964,0.00805,0.000511769,0.000511769,0.000511769
37,140.591,1.18771,1.50084,0.00554,0.46781,0.83333,0.85575,0.63773,1.09041,1.73546,0.00779,0.000478762,0.000478762,0.000478762
38,144.337,1.20747,1.40885,0.00565,0.46781,0.83333,0.85575,0.63773,1.09041,1.73546,0.00779,0.000445756,0.000445756,0.000445756
39,148.066,1.09278,1.51937,0.00566,0.44571,0.83333,0.85243,0.64694,1.05287,1.71223,0.00736,0.000412749,0.000412749,0.000412749
40,151.607,1.13743,1.43597,0.00542,0.44571,0.83333,0.85243,0.64694,1.05287,1.71223,0.00736,0.000379743,0.000379743,0.000379743
41,155.296,1.00844,1.75656,0.00582,0.43593,0.83333,0.83381,0.63739,1.04669,1.72551,0.00711,0.000346736,0.000346736,0.000346736
42,158.965,1.02532,1.76153,0.00615,0.43593,0.83333,0.83381,0.63739,1.04669,1.72551,0.00711,0.000313729,0.000313729,0.000313729
43,162.685,1.01399,1.72744,0.00578,0.49533,0.91003,0.87567,0.66994,1.04483,1.77263,0.00695,0.000280723,0.000280723,0.000280723
44,166.154,1.0647,1.72392,0.00581,0.49533,0.91003,0.87567,0.66994,1.04483,1.77263,0.00695,0.000247716,0.000247716,0.000247716
45,169.777,1.04156,1.71842,0.00533,0.48275,0.91705,0.875,0.68029,0.99529,1.85106,0.00632,0.00021471,0.00021471,0.00021471
46,173.307,1.15113,1.84821,0.0061,0.48275,0.91705,0.875,0.68029,0.99529,1.85106,0.00632,0.000181703,0.000181703,0.000181703
47,176.956,1.04411,1.84946,0.00645,0.47486,0.91618,0.88272,0.70447,1.0302,1.86985,0.00665,0.000148696,0.000148696,0.000148696
48,180.673,1.05403,1.70753,0.00633,0.47486,0.91618,0.88272,0.70447,1.0302,1.86985,0.00665,0.00011569,0.00011569,0.00011569
49,184.235,1.01481,1.6704,0.00594,0.91754,0.42217,0.84212,0.65855,1.03297,1.90826,0.00663,8.26832e-05,8.26832e-05,8.26832e-05
50,187.769,1.05078,1.70999,0.00588,0.91754,0.42217,0.84212,0.65855,1.03297,1.90826,0.00663,4.96766e-05,4.96766e-05,4.96766e-05
