epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.477,1.45681,8.86411,0.00798,0.00167,0.4419,0.00599,0.00471,1.00051,5.2989,0.00604,0.00017148,0.00017148,0.00017148
2,44.9248,1.6349,9.68616,0.00931,0.0012,0.3315,0.08559,0.05591,0.97972,5.28302,0.006,0.000345461,0.000345461,0.000345461
3,74.0013,1.57757,8.90455,0.00878,0.00128,0.35531,0.17462,0.11749,0.94085,5.17721,0.00559,0.000507181,0.000507181,0.000507181
4,106.978,1.3346,7.74693,0.00752,0.00126,0.35714,0.15194,0.11176,0.9564,5.0366,0.00613,0.00065664,0.00065664,0.00065664
5,135.146,1.66347,7.01648,0.00814,0.00188,0.43714,0.13466,0.08732,1.02488,4.92623,0.00643,0.000793838,0.000793838,0.000793838
6,163.077,1.48556,6.9741,0.00724,0.00355,0.70571,0.18355,0.10252,1.0339,4.78659,0.00653,0.000918776,0.000918776,0.000918776
7,190.56,1.33706,6.89876,0.00651,0.00335,0.68952,0.38289,0.20424,1.1367,4.65173,0.00634,0.00103145,0.00103145,0.00103145
8,217.139,1.24358,7.62134,0.0059,0.00344,0.71333,0.40236,0.2153,1.12087,4.54848,0.00616,0.0010989,0.0010989,0.0010989
9,246.778,1.5571,5.71893,0.00752,0.76603,0.25744,0.36883,0.20615,1.15916,4.20756,0.00654,0.00105174,0.00105174,0.00105174
10,280.828,1.50082,5.81883,0.00817,0.61228,0.34823,0.39467,0.2238,1.16264,4.08881,0.00678,0.00100459,0.00100459,0.00100459
11,312.37,1.44913,5.5912,0.00718,0.52432,0.39919,0.42304,0.2484,1.08947,3.82559,0.00655,0.00095743,0.00095743,0.00095743
12,341.759,1.3413,5.18811,0.00692,0.5174,0.53341,0.53131,0.3374,1.06267,3.43962,0.00631,0.000910273,0.000910273,0.000910273
13,376.099,1.41625,4.69718,0.0074,0.53149,0.63048,0.5641,0.36454,1.05005,3.29568,0.006,0.000863116,0.000863116,0.000863116
14,408.426,1.58619,5.20434,0.00746,0.54898,0.61396,0.60077,0.3579,1.10499,3.12324,0.00693,0.000815959,0.000815959,0.000815959
15,434.926,1.52526,5.36219,0.00758,0.57025,0.54593,0.61407,0.37534,1.08919,2.9645,0.00658,0.000768802,0.000768802,0.000768802
16,461.891,1.38113,4.89888,0.0078,0.62131,0.63722,0.63031,0.39994,1.02231,2.92943,0.00645,0.000721645,0.000721645,0.000721645
17,494.106,1.46898,6.20707,0.00735,0.57695,0.66103,0.64323,0.40125,0.99487,2.8168,0.00626,0.000674488,0.000674488,0.000674488
18,518.725,1.24467,4.05381,0.00606,0.52707,0.68198,0.64656,0.40513,1.01767,2.80974,0.00638,0.000627331,0.000627331,0.000627331
19,543.291,1.12702,4.68273,0.00497,0.53767,0.60208,0.60152,0.39491,1.05853,2.79424,0.00602,0.000580174,0.000580174,0.000580174
20,561.964,1.29866,4.08684,0.00664,0.63086,0.48913,0.5906,0.3775,1.07961,2.83019,0.00627,0.000533017,0.000533017,0.000533017
21,585.515,1.10701,7.89737,0.00616,0.66055,0.52872,0.59855,0.37712,1.07307,2.83311,0.0062,0.00048586,0.00048586,0.00048586
22,598.77,1.11181,7.43321,0.00621,0.60976,0.54205,0.62851,0.36947,1.09629,2.75417,0.00651,0.000438703,0.000438703,0.000438703
23,611.086,1.21082,6.94712,0.00644,0.49684,0.60872,0.62893,0.3457,1.11473,2.69695,0.00702,0.000391546,0.000391546,0.000391546
24,623.646,1.30452,6.76132,0.00641,0.63169,0.53077,0.65886,0.35381,1.12428,2.68991,0.0072,0.000344389,0.000344389,0.000344389
25,635.987,1.26102,7.34529,0.00661,0.56106,0.59641,0.67502,0.35877,1.12713,2.65372,0.00707,0.000297232,0.000297232,0.000297232
26,648.42,1.1444,6.88498,0.00646,0.55297,0.5862,0.683,0.36828,1.11456,2.64055,0.00687,0.000250075,0.000250075,0.000250075
27,660.967,1.11846,7.06996,0.00528,0.59108,0.60168,0.68841,0.37881,1.09909,2.61103,0.00667,0.000202918,0.000202918,0.000202918
28,673.313,1.1181,6.21188,0.00652,0.59566,0.60466,0.69347,0.39096,1.09728,2.58272,0.00677,0.000155761,0.000155761,0.000155761
29,685.65,0.95319,7.09483,0.0054,0.63173,0.58664,0.69865,0.39369,1.0929,2.57462,0.00671,0.000108604,0.000108604,0.000108604
30,697.85,1.15334,6.18836,0.00604,0.6551,0.62564,0.70499,0.40352,1.08397,2.55776,0.00661,6.1447e-05,6.1447e-05,6.1447e-05
